,class,Variable,SHAP,abs_SHAP
0,8,gamma_gtp1,4.485001564025879,4.485001564025879
1,8,alt1,-0.31539207696914673,0.31539207696914673
2,8,vcl1,0.27078670263290405,0.27078670263290405
3,8,vcr1,0.24648995697498322,0.24648995697498322
4,8,weight,0.2351173460483551,0.2351173460483551
5,8,height,0.22125793993473053,0.22125793993473053
6,8,tc1,0.15354770421981812,0.15354770421981812
7,8,dbp1,0.11670791357755661,0.11670791357755661
8,8,egfr1,0.11554736644029617,0.11554736644029617
9,8,ldl1,0.1062287911772728,0.1062287911772728
10,8,ast1,-0.08330142498016357,0.08330142498016357
11,8,sbp1,-0.07002485543489456,0.07002485543489456
12,8,bmi1,-0.06280680000782013,0.06280680000782013
13,8,fbs1,-0.03718072548508644,0.03718072548508644
14,8,hgb1,0.02850075252354145,0.02850075252354145
15,8,wc1,-0.02162695676088333,0.02162695676088333
16,8,gender,0.019044063985347748,0.019044063985347748
17,8,crtn1,-0.015233607031404972,0.015233607031404972
18,8,htn_med,-0.011081616394221783,0.011081616394221783
19,8,dld_med,0.00021601982007268816,0.00021601982007268816
20,8,dm_med,0.0,0.0
