,class,Variable,SHAP,abs_SHAP
0,0,wc1,1.749180793762207,1.749180793762207
1,0,vcr1,-1.5408061742782593,1.5408061742782593
2,0,vcl1,-1.450728416442871,1.450728416442871
3,0,weight,0.454331636428833,0.454331636428833
4,0,sbp1,0.28230583667755127,0.28230583667755127
5,0,ldl1,-0.2468215674161911,0.2468215674161911
6,0,tc1,-0.24212323129177094,0.24212323129177094
7,0,bmi1,0.22566018998622894,0.22566018998622894
8,0,height,-0.1770792156457901,0.1770792156457901
9,0,egfr1,-0.17274273931980133,0.17274273931980133
10,0,dbp1,0.11974626034498215,0.11974626034498215
11,0,ast1,-0.108176089823246,0.108176089823246
12,0,alt1,-0.09670056402683258,0.09670056402683258
13,0,fbs1,-0.07190144807100296,0.07190144807100296
14,0,htn_med,0.04760575667023659,0.04760575667023659
15,0,gamma_gtp1,-0.034566592425107956,0.034566592425107956
16,0,gender,0.021738063544034958,0.021738063544034958
17,0,hgb1,0.02020730823278427,0.02020730823278427
18,0,crtn1,-0.016821838915348053,0.016821838915348053
19,0,dld_med,0.006835299544036388,0.006835299544036388
20,0,dm_med,0.0,0.0
