,class,Variable,SHAP,abs_SHAP
0,6,hgb1,-4.628314971923828,4.628314971923828
1,6,weight,-0.31633755564689636,0.31633755564689636
2,6,ldl1,-0.30493369698524475,0.30493369698524475
3,6,vcl1,0.28851693868637085,0.28851693868637085
4,6,height,-0.24143840372562408,0.24143840372562408
5,6,egfr1,0.23732703924179077,0.23732703924179077
6,6,sbp1,-0.19778144359588623,0.19778144359588623
7,6,vcr1,0.13213704526424408,0.13213704526424408
8,6,dbp1,-0.12010542303323746,0.12010542303323746
9,6,gender,-0.1192689836025238,0.1192689836025238
10,6,tc1,-0.1096312627196312,0.1096312627196312
11,6,ast1,-0.08515198528766632,0.08515198528766632
12,6,gamma_gtp1,-0.08045566827058792,0.08045566827058792
13,6,wc1,-0.05525272712111473,0.05525272712111473
14,6,bmi1,0.054769329726696014,0.054769329726696014
15,6,htn_med,-0.03003275953233242,0.03003275953233242
16,6,alt1,-0.021259862929582596,0.021259862929582596
17,6,crtn1,-0.020096955820918083,0.020096955820918083
18,6,fbs1,-0.014698230661451817,0.014698230661451817
19,6,dm_med,-0.001766323228366673,0.001766323228366673
20,6,dld_med,0.0,0.0
