,count,mean,std,min,25%,50%,75%,max
ast,7634.0,17.91,4.22,7.0,15.0,17.0,20.0,40.0
alt,7634.0,14.51,5.98,5.0,11.0,13.0,17.0,71.0
bmi,7634.0,28.33,4.95,10.8,24.9,27.9,31.8,56.4
gamma_gtp,7634.0,13.96,7.89,1.0,10.0,12.0,16.0,178.0
ldl,7634.0,96.78,18.07,22.0,85.0,97.0,110.0,157.0
crtn,7634.0,0.72,0.13,0.3,0.6,0.7,0.8,1.2
fbs,7634.0,90.46,8.11,56.0,85.0,90.0,95.0,125.0
hgb,7634.0,13.32,0.85,12.0,12.7,13.2,13.8,18.0
tc,7634.0,172.14,19.0,93.0,160.0,174.0,187.0,237.0
vcr,7634.0,1.54,0.64,0.0,1.0,2.0,2.0,8.0
vcl,7634.0,1.68,0.49,0.1,1.2,2.0,2.0,7.0
height,7634.0,161.54,5.17,135.0,158.0,161.0,165.0,178.0
weight,7634.0,55.19,6.78,36.9,50.5,54.6,59.4,82.4
wc,7634.0,74.93,6.57,54.0,70.0,75.0,80.0,98.0
sbp,7634.0,109.15,10.29,73.0,102.0,108.0,116.0,155.0
dbp,7634.0,67.23,8.04,41.0,62.0,67.0,72.0,96.0
egfr,7634.0,104.52,14.28,60.0,93.0,107.0,115.0,148.0
