,class,Variable,SHAP,abs_SHAP
0,4,fbs1,5.738677978515625,5.738677978515625
1,4,ast1,-0.3719424307346344,0.3719424307346344
2,4,alt1,-0.1438518613576889,0.1438518613576889
3,4,htn_med,0.0759039968252182,0.0759039968252182
4,4,dm_med,0.07197729498147964,0.07197729498147964
5,4,dbp1,-0.06284549087285995,0.06284549087285995
6,4,gamma_gtp1,-0.05734223872423172,0.05734223872423172
7,4,sbp1,0.05606678128242493,0.05606678128242493
8,4,vcl1,-0.05233634263277054,0.05233634263277054
9,4,ldl1,-0.04895079880952835,0.04895079880952835
10,4,weight,0.04666093736886978,0.04666093736886978
11,4,vcr1,-0.030293898656964302,0.030293898656964302
12,4,height,-0.029049091041088104,0.029049091041088104
13,4,crtn1,-0.02617393247783184,0.02617393247783184
14,4,wc1,0.026155954226851463,0.026155954226851463
15,4,bmi1,-0.02078404277563095,0.02078404277563095
16,4,hgb1,0.017873616889119148,0.017873616889119148
17,4,tc1,-0.009332467801868916,0.009332467801868916
18,4,egfr1,-0.006389987654983997,0.006389987654983997
19,4,gender,-0.004127890337258577,0.004127890337258577
20,4,dld_med,0.00069046625867486,0.00069046625867486
