,count,mean,std,min,25%,50%,75%,max
ast,2288.0,23.69,5.7,11.0,19.0,23.0,27.0,40.0
alt,2288.0,24.09,9.61,6.0,17.0,22.0,29.0,84.0
bmi,2288.0,31.37,6.78,15.4,26.0,30.3,36.4,50.7
gamma_gtp,2288.0,33.66,29.32,6.0,17.0,25.0,39.25,456.0
ldl,2288.0,115.36,27.93,34.0,96.0,116.0,135.0,254.0
crtn,2288.0,0.86,0.19,0.4,0.7,0.9,1.0,1.2
fbs,2288.0,100.71,10.37,63.0,93.0,100.0,108.0,125.0
hgb,2288.0,14.55,1.3,9.2,13.6,14.6,15.5,18.3
tc,2288.0,186.65,31.35,95.0,166.0,187.0,208.0,351.0
vcr,2288.0,0.01,0.08,0.0,0.0,0.0,0.0,2.0
vcl,2288.0,0.02,0.16,0.0,0.0,0.0,0.0,2.0
height,2288.0,165.72,8.56,141.0,159.0,166.0,172.0,189.0
weight,2288.0,73.51,8.9,44.4,66.7,74.0,79.5,105.3
wc,2288.0,92.8,4.96,80.0,90.0,92.0,96.0,117.0
sbp,2288.0,126.59,12.52,90.0,118.0,127.0,135.0,185.0
dbp,2288.0,77.55,8.87,48.0,71.0,78.0,84.0,108.0
egfr,2288.0,87.11,13.01,55.0,76.0,87.0,97.0,141.0
