,class,Variable,SHAP,abs_SHAP
0,9,ast1,2.8687450885772705,2.8687450885772705
1,9,alt1,1.052417278289795,1.052417278289795
2,9,gamma_gtp1,0.6198627948760986,0.6198627948760986
3,9,weight,0.3356776833534241,0.3356776833534241
4,9,dbp1,0.2644447088241577,0.2644447088241577
5,9,sbp1,0.2614017724990845,0.2614017724990845
6,9,wc1,0.25978797674179077,0.25978797674179077
7,9,height,0.2018231302499771,0.2018231302499771
8,9,vcl1,0.19700798392295837,0.19700798392295837
9,9,vcr1,0.1765039712190628,0.1765039712190628
10,9,ldl1,0.152120441198349,0.152120441198349
11,9,hgb1,0.137210875749588,0.137210875749588
12,9,tc1,0.1361105889081955,0.1361105889081955
13,9,egfr1,0.12790051102638245,0.12790051102638245
14,9,bmi1,0.06997939944267273,0.06997939944267273
15,9,fbs1,0.062127549201250076,0.062127549201250076
16,9,gender,0.05149251967668533,0.05149251967668533
17,9,htn_med,0.014123816043138504,0.014123816043138504
18,9,crtn1,-0.00886279996484518,0.00886279996484518
19,9,dm_med,-0.0008841963135637343,0.0008841963135637343
20,9,dld_med,0.0001218750185216777,0.0001218750185216777
