,count,mean,std,min,25%,50%,75%,max
ast,5610.0,20.34,5.39,8.0,17.0,19.0,23.0,90.0
alt,5610.0,19.83,7.67,5.0,14.0,18.0,24.0,68.0
bmi,5610.0,18.85,3.81,3.9,16.5,19.2,21.6,36.0
gamma_gtp,5610.0,22.36,11.25,4.0,14.0,19.0,27.0,72.0
ldl,5610.0,103.47,19.25,23.0,90.0,105.0,118.0,153.0
crtn,5610.0,0.95,0.15,0.4,0.8,1.0,1.1,1.2
fbs,5610.0,93.98,8.6,30.0,88.0,94.0,99.0,125.0
hgb,5610.0,15.04,0.99,11.9,14.4,15.1,15.7,18.5
tc,5610.0,174.54,20.37,84.0,162.0,177.0,190.0,239.0
vcr,5610.0,1.39,0.6,0.0,0.9,1.2,2.0,2.0
vcl,5610.0,1.51,0.5,0.1,1.0,1.5,2.0,2.0
height,5610.0,173.9,5.42,156.0,170.0,174.0,178.0,201.0
weight,5610.0,67.78,7.91,39.7,62.62,68.3,73.2,92.8
wc,5610.0,80.27,5.85,23.7,77.0,81.0,85.0,96.0
sbp,5610.0,117.22,10.06,84.0,110.0,117.0,124.0,150.0
dbp,5610.0,72.16,7.93,47.0,66.0,72.0,78.0,98.0
egfr,5610.0,97.65,14.06,57.0,87.0,97.0,109.0,146.0
