,class,Variable,SHAP,abs_SHAP
0,13,alt1,4.328445911407471,4.328445911407471
1,13,weight,0.4017203748226166,0.4017203748226166
2,13,ast1,-0.3049146234989166,0.3049146234989166
3,13,vcl1,0.29343754053115845,0.29343754053115845
4,13,gamma_gtp1,0.2891443967819214,0.2891443967819214
5,13,height,0.27558428049087524,0.27558428049087524
6,13,bmi1,0.21819069981575012,0.21819069981575012
7,13,wc1,0.1788869947195053,0.1788869947195053
8,13,ldl1,0.15296973288059235,0.15296973288059235
9,13,sbp1,0.11868269741535187,0.11868269741535187
10,13,dbp1,-0.11804801970720291,0.11804801970720291
11,13,tc1,0.11092644929885864,0.11092644929885864
12,13,vcr1,0.09945454448461533,0.09945454448461533
13,13,egfr1,0.0987546518445015,0.0987546518445015
14,13,hgb1,0.06979101896286011,0.06979101896286011
15,13,fbs1,-0.04608577489852905,0.04608577489852905
16,13,crtn1,-0.01664690300822258,0.01664690300822258
17,13,htn_med,-0.013722876086831093,0.013722876086831093
18,13,gender,0.01264528464525938,0.01264528464525938
19,13,dld_med,-0.0034829420037567616,0.0034829420037567616
20,13,dm_med,-0.0007564760162495077,0.0007564760162495077
