,class,Variable,SHAP,abs_SHAP
0,5,wc1,2.640889883041382,2.640889883041382
1,5,weight,1.0896705389022827,1.0896705389022827
2,5,height,0.5913893580436707,0.5913893580436707
3,5,vcl1,0.5391690135002136,0.5391690135002136
4,5,bmi1,0.4023270010948181,0.4023270010948181
5,5,ldl1,0.33368605375289917,0.33368605375289917
6,5,sbp1,0.2999620735645294,0.2999620735645294
7,5,alt1,-0.2912772595882416,0.2912772595882416
8,5,vcr1,0.2704955041408539,0.2704955041408539
9,5,tc1,-0.2108200192451477,0.2108200192451477
10,5,gamma_gtp1,-0.1930413693189621,0.1930413693189621
11,5,dbp1,-0.15527163445949554,0.15527163445949554
12,5,egfr1,0.15269801020622253,0.15269801020622253
13,5,hgb1,0.09386218339204788,0.09386218339204788
14,5,ast1,-0.08349503576755524,0.08349503576755524
15,5,fbs1,-0.04426800087094307,0.04426800087094307
16,5,crtn1,-0.02248113788664341,0.02248113788664341
17,5,gender,-0.016154849901795387,0.016154849901795387
18,5,htn_med,0.014122651889920235,0.014122651889920235
19,5,dld_med,0.0005290291737765074,0.0005290291737765074
20,5,dm_med,0.0,0.0
