,count,mean,std,min,25%,50%,75%,max
ast,4463.0,20.76,5.04,9.0,17.0,20.0,24.0,64.0
alt,4463.0,23.25,8.2,5.0,17.0,22.0,29.0,41.0
bmi,4463.0,28.77,5.77,15.2,24.7,27.6,32.1,50.8
gamma_gtp,4463.0,27.8,13.08,3.0,18.0,25.0,36.0,63.0
ldl,4463.0,126.79,29.03,32.0,107.0,126.0,145.0,345.0
crtn,4463.0,0.9,0.17,0.3,0.8,0.9,1.0,1.2
fbs,4463.0,96.81,9.23,64.0,91.0,96.0,102.0,125.0
hgb,4463.0,14.97,1.17,10.1,14.3,15.1,15.8,18.7
tc,4463.0,198.21,32.98,85.0,177.0,197.0,218.0,466.0
vcr,4463.0,1.45,0.55,0.0,1.0,1.5,2.0,2.0
vcl,4463.0,1.51,0.5,0.0,1.0,1.5,2.0,2.0
height,4463.0,173.79,6.81,146.0,169.0,174.0,179.0,197.0
weight,4463.0,81.22,8.84,58.6,75.5,80.8,86.3,146.8
wc,4463.0,93.94,5.3,77.0,90.0,93.0,96.0,133.0
sbp,4463.0,122.53,10.23,83.0,116.0,123.0,130.0,164.0
dbp,4463.0,75.69,7.63,50.0,70.0,76.0,82.0,99.0
egfr,4463.0,99.36,14.57,57.0,88.0,101.0,111.0,173.0
