,class,Variable,SHAP,abs_SHAP
0,7,vcl1,-2.2221004962921143,2.2221004962921143
1,7,vcr1,-2.103060245513916,2.103060245513916
2,7,wc1,-0.5727621912956238,0.5727621912956238
3,7,bmi1,-0.5123536586761475,0.5123536586761475
4,7,tc1,-0.45672279596328735,0.45672279596328735
5,7,ldl1,-0.4215777814388275,0.4215777814388275
6,7,egfr1,-0.3376982510089874,0.3376982510089874
7,7,weight,-0.3065573573112488,0.3065573573112488
8,7,sbp1,-0.1612631380558014,0.1612631380558014
9,7,height,0.13150086998939514,0.13150086998939514
10,7,gamma_gtp1,-0.11307395249605179,0.11307395249605179
11,7,dbp1,-0.10408153384923935,0.10408153384923935
12,7,gender,0.1019652783870697,0.1019652783870697
13,7,ast1,-0.07643944770097733,0.07643944770097733
14,7,fbs1,-0.06542608141899109,0.06542608141899109
15,7,hgb1,0.05542254075407982,0.05542254075407982
16,7,crtn1,-0.034086547791957855,0.034086547791957855
17,7,alt1,-0.03004290722310543,0.03004290722310543
18,7,htn_med,0.014962324872612953,0.014962324872612953
19,7,dld_med,-0.0031813832465559244,0.0031813832465559244
20,7,dm_med,0.0,0.0
