,count,mean,std,min,25%,50%,75%,max
ast,1875.0,23.98,5.35,10.0,20.0,23.0,27.0,40.0
alt,1875.0,27.37,7.71,7.0,21.5,28.0,33.0,41.0
bmi,1875.0,26.27,6.22,3.0,21.8,25.4,29.95,52.0
gamma_gtp,1875.0,89.66,48.76,36.0,67.0,78.0,101.0,841.0
ldl,1875.0,128.52,32.88,38.0,106.0,128.0,149.0,268.0
crtn,1875.0,0.88,0.18,0.3,0.8,0.9,1.0,1.2
fbs,1875.0,99.16,10.01,65.0,92.0,98.0,105.0,125.0
hgb,1875.0,15.09,1.28,10.2,14.3,15.2,16.0,20.5
tc,1875.0,209.68,35.25,111.0,187.0,209.0,231.0,354.0
vcr,1875.0,1.41,0.63,0.0,0.9,1.25,2.0,2.0
vcl,1875.0,1.45,0.65,0.0,1.0,1.5,2.0,12.0
height,1875.0,170.93,7.4,148.0,167.0,172.0,176.0,194.0
weight,1875.0,72.7,11.29,41.9,65.7,72.3,79.5,124.3
wc,1875.0,87.41,7.97,61.0,82.0,87.0,92.0,120.0
sbp,1875.0,123.13,11.13,90.0,116.0,124.0,131.0,155.0
dbp,1875.0,77.78,8.79,47.0,72.0,78.0,84.0,102.0
egfr,1875.0,98.3,14.25,64.0,87.5,100.0,109.0,176.0
