,count,mean,std,min,25%,50%,75%,max
ast,1603.0,52.0,36.46,33.0,37.0,43.0,53.0,574.0
alt,1603.0,51.59,40.72,6.0,31.0,42.0,59.0,688.0
bmi,1603.0,29.16,7.59,3.0,23.6,29.2,34.9,51.1
gamma_gtp,1603.0,54.49,143.42,3.0,18.0,28.0,48.0,2880.0
ldl,1603.0,117.62,35.25,11.0,93.0,115.0,140.0,351.0
crtn,1603.0,0.8,0.17,0.3,0.7,0.8,0.9,1.2
fbs,1603.0,98.2,16.43,56.0,89.0,96.0,104.0,287.0
hgb,1603.0,14.08,1.35,5.9,13.2,14.0,15.0,18.4
tc,1603.0,195.39,40.22,84.0,167.0,192.0,221.0,455.0
vcr,1603.0,0.64,0.81,0.0,0.0,0.0,1.2,2.0
vcl,1603.0,0.67,0.82,0.0,0.0,0.0,1.2,2.0
height,1603.0,161.66,7.82,138.0,156.0,161.0,167.0,185.0
weight,1603.0,61.67,9.77,38.7,54.4,61.0,68.1,98.5
wc,1603.0,82.04,8.52,59.0,76.0,82.0,88.0,116.0
sbp,1603.0,119.06,12.94,75.0,110.0,119.0,128.0,161.0
dbp,1603.0,72.83,8.99,47.0,66.0,72.0,79.0,108.0
egfr,1603.0,91.69,14.43,55.0,81.0,92.0,101.0,142.0
