,count,mean,std,min,25%,50%,75%,max
ast,1415.0,59.98,31.54,27.0,44.0,50.0,64.0,504.0
alt,1415.0,84.94,50.83,18.0,57.0,74.0,99.0,716.0
bmi,1415.0,29.59,6.52,10.2,25.1,28.8,33.4,51.3
gamma_gtp,1415.0,110.05,103.05,11.0,52.0,79.0,129.0,1200.0
ldl,1415.0,134.8,38.25,16.0,108.0,135.0,160.0,266.0
crtn,1415.0,0.91,0.18,0.4,0.8,0.9,1.0,1.4
fbs,1415.0,111.13,25.06,66.0,96.0,104.0,118.0,288.0
hgb,1415.0,15.59,1.26,9.8,14.9,15.7,16.5,19.8
tc,1415.0,215.5,42.74,89.0,187.0,215.0,243.0,396.0
vcr,1415.0,1.2,0.72,0.0,0.8,1.2,2.0,2.0
vcl,1415.0,1.25,0.71,0.0,0.9,1.2,2.0,2.0
height,1415.0,171.32,7.35,145.0,167.0,172.0,176.0,194.0
weight,1415.0,81.84,22.55,42.4,72.7,79.8,88.4,775.0
wc,1415.0,94.07,8.82,71.0,88.0,93.0,99.0,138.0
sbp,1415.0,129.72,12.3,88.0,121.0,130.0,137.0,197.0
dbp,1415.0,82.22,9.88,54.0,76.0,82.0,88.0,126.0
egfr,1415.0,96.55,15.16,58.0,84.5,97.0,109.0,155.0
