,class,Variable,SHAP,abs_SHAP
0,11,tc1,-1.3735333681106567,1.3735333681106567
1,11,ldl1,-0.8548637628555298,0.8548637628555298
2,11,bmi1,0.8118141889572144,0.8118141889572144
3,11,height,-0.80687415599823,0.80687415599823
4,11,weight,-0.7119993567466736,0.7119993567466736
5,11,vcl1,0.6693171262741089,0.6693171262741089
6,11,gender,-0.6099294424057007,0.6099294424057007
7,11,sbp1,-0.5110151767730713,0.5110151767730713
8,11,wc1,-0.4694001376628876,0.4694001376628876
9,11,egfr1,0.3885197043418884,0.3885197043418884
10,11,dbp1,-0.2943658232688904,0.2943658232688904
11,11,hgb1,0.27058544754981995,0.27058544754981995
12,11,gamma_gtp1,-0.19424213469028473,0.19424213469028473
13,11,vcr1,0.15853723883628845,0.15853723883628845
14,11,alt1,-0.13174191117286682,0.13174191117286682
15,11,ast1,-0.04884719476103783,0.04884719476103783
16,11,crtn1,-0.032525453716516495,0.032525453716516495
17,11,fbs1,-0.02065933682024479,0.02065933682024479
18,11,htn_med,-0.008063437417149544,0.008063437417149544
19,11,dld_med,0.0005896610673516989,0.0005896610673516989
20,11,dm_med,0.0002362347295274958,0.0002362347295274958
