,count,mean,std,min,25%,50%,75%,max
ast,2551.0,22.63,5.08,10.0,19.0,22.0,26.0,55.0
alt,2551.0,20.34,7.9,6.0,15.0,19.0,24.0,73.0
bmi,2551.0,31.32,6.2,12.2,26.9,31.6,35.5,87.9
gamma_gtp,2551.0,22.98,19.39,5.0,13.0,18.0,26.0,321.0
ldl,2551.0,156.73,28.15,89.0,137.0,153.0,173.0,357.0
crtn,2551.0,0.76,0.16,0.3,0.6,0.8,0.9,1.2
fbs,2551.0,96.79,9.96,57.0,90.0,96.0,103.0,125.0
hgb,2551.0,13.88,1.21,9.9,13.0,13.7,14.6,20.4
tc,2551.0,237.8,28.39,148.0,216.0,234.0,253.0,421.0
vcr,2551.0,0.01,0.06,0.0,0.0,0.0,0.0,1.0
vcl,2551.0,0.01,0.13,0.0,0.0,0.0,0.0,2.0
height,2551.0,158.44,7.39,3.0,154.0,158.0,163.0,182.0
weight,2551.0,58.84,7.98,36.9,53.1,58.0,63.8,95.5
wc,2551.0,80.96,7.07,59.0,76.0,81.0,85.0,110.0
sbp,2551.0,119.69,13.46,73.0,110.0,119.0,130.0,180.0
dbp,2551.0,73.78,9.02,39.0,67.0,74.0,80.0,106.0
egfr,2551.0,90.34,12.64,57.0,81.0,93.0,100.0,134.0
