,count,mean,std,min,25%,50%,75%,max
ast,1712.0,24.89,11.13,8.0,19.0,22.0,28.0,156.0
alt,1712.0,24.92,16.32,5.0,15.0,20.0,30.0,166.0
bmi,1712.0,26.52,7.0,5.5,21.5,25.9,31.2,50.0
gamma_gtp,1712.0,30.71,38.9,5.0,14.0,20.0,34.0,960.0
ldl,1712.0,117.9,33.25,23.0,95.0,116.0,139.0,330.0
crtn,1712.0,1.27,0.53,1.0,1.0,1.3,1.3,8.3
fbs,1712.0,101.67,22.04,67.0,91.0,97.0,106.0,487.0
hgb,1712.0,14.35,1.7,4.8,13.3,14.4,15.6,18.5
tc,1712.0,200.19,39.55,59.0,175.0,199.0,224.0,447.0
vcr,1712.0,0.97,0.88,0.0,0.0,0.9,2.0,12.0
vcl,1712.0,1.0,0.9,0.0,0.0,1.0,2.0,14.0
height,1712.0,166.26,8.47,141.0,160.0,166.0,172.25,191.0
weight,1712.0,67.02,12.49,35.4,57.4,66.6,75.5,110.6
wc,1712.0,82.96,9.66,47.0,76.0,84.0,90.0,116.0
sbp,1712.0,121.28,14.62,82.0,111.0,121.0,131.0,187.0
dbp,1712.0,74.84,10.71,44.0,67.0,74.0,81.0,124.0
egfr,1712.0,61.63,10.57,5.0,58.0,64.0,69.0,80.0
