,class,Variable,SHAP,abs_SHAP
0,2,vcr1,-1.6097749471664429,1.6097749471664429
1,2,vcl1,-1.4008262157440186,1.4008262157440186
2,2,tc1,1.003334879875183,1.003334879875183
3,2,ldl1,0.8822329640388489,0.8822329640388489
4,2,height,-0.6852511167526245,0.6852511167526245
5,2,weight,-0.32896071672439575,0.32896071672439575
6,2,bmi1,0.3275618851184845,0.3275618851184845
7,2,wc1,-0.24787728488445282,0.24787728488445282
8,2,gamma_gtp1,-0.09540270268917084,0.09540270268917084
9,2,gender,-0.0871562510728836,0.0871562510728836
10,2,dbp1,-0.07642543315887451,0.07642543315887451
11,2,egfr1,0.07627882063388824,0.07627882063388824
12,2,ast1,-0.07081400603055954,0.07081400603055954
13,2,sbp1,-0.0590495802462101,0.0590495802462101
14,2,alt1,-0.03121059574186802,0.03121059574186802
15,2,fbs1,-0.02879147417843342,0.02879147417843342
16,2,htn_med,-0.024656454101204872,0.024656454101204872
17,2,crtn1,-0.02001059427857399,0.02001059427857399
18,2,hgb1,0.015206273645162582,0.015206273645162582
19,2,dld_med,-0.004581055603921413,0.004581055603921413
20,2,dm_med,0.0,0.0
