,class,Variable,SHAP,abs_SHAP
0,14,ast1,5.001594066619873,5.001594066619873
1,14,gamma_gtp1,-0.29169872403144836,0.29169872403144836
2,14,height,-0.25065839290618896,0.25065839290618896
3,14,vcr1,-0.2265726923942566,0.2265726923942566
4,14,weight,-0.22468522191047668,0.22468522191047668
5,14,dbp1,-0.1818956881761551,0.1818956881761551
6,14,fbs1,-0.15849266946315765,0.15849266946315765
7,14,wc1,-0.15275761485099792,0.15275761485099792
8,14,hgb1,-0.1329214870929718,0.1329214870929718
9,14,sbp1,-0.10637619346380234,0.10637619346380234
10,14,tc1,-0.1017003059387207,0.1017003059387207
11,14,vcl1,-0.0986766442656517,0.0986766442656517
12,14,ldl1,-0.09820988029241562,0.09820988029241562
13,14,alt1,0.07648945599794388,0.07648945599794388
14,14,bmi1,0.028900334611535072,0.028900334611535072
15,14,egfr1,-0.027913179248571396,0.027913179248571396
16,14,crtn1,-0.016253815963864326,0.016253815963864326
17,14,htn_med,-0.013746027834713459,0.013746027834713459
18,14,gender,-0.013327904045581818,0.013327904045581818
19,14,dm_med,0.0006158315809443593,0.0006158315809443593
20,14,dld_med,0.00013561236846726388,0.00013561236846726388
