,count,mean,std,min,25%,50%,75%,max
ast,3682.0,21.34,5.19,9.0,18.0,21.0,24.0,83.0
alt,3682.0,22.27,8.11,5.0,16.0,21.0,27.0,86.0
bmi,3682.0,20.49,3.6,5.9,18.3,20.7,22.8,35.0
gamma_gtp,3682.0,26.61,11.86,6.0,18.0,24.0,33.0,63.0
ldl,3682.0,151.81,23.04,67.0,137.0,149.0,165.0,491.0
crtn,3682.0,0.98,0.14,0.5,0.9,1.0,1.1,1.2
fbs,3682.0,95.52,8.43,59.0,90.0,95.0,101.0,125.0
hgb,3682.0,15.36,0.93,12.0,14.8,15.4,16.0,19.1
tc,3682.0,229.96,23.12,173.0,212.0,225.0,244.0,388.0
vcr,3682.0,1.43,0.54,0.0,1.0,1.2,2.0,2.0
vcl,3682.0,1.46,0.51,0.0,1.0,1.5,2.0,2.0
height,3682.0,173.7,5.2,157.0,170.0,174.0,177.0,201.0
weight,3682.0,70.23,6.8,45.2,65.9,70.5,74.8,92.1
wc,3682.0,82.87,4.89,41.0,80.0,84.0,86.0,98.0
sbp,3682.0,119.37,9.61,90.0,113.0,120.0,126.0,155.0
dbp,3682.0,74.43,7.51,46.0,69.0,74.0,80.0,98.0
egfr,3682.0,94.13,13.7,60.0,83.0,92.0,106.0,136.0
