,count,mean,std,min,25%,50%,75%,max
ast,2180.0,21.85,5.86,9.0,18.0,21.0,25.0,71.0
alt,2180.0,23.42,9.67,5.0,16.0,22.0,29.0,95.0
bmi,2180.0,26.45,5.98,6.7,22.58,25.6,29.7,48.4
gamma_gtp,2180.0,32.0,23.83,5.0,17.0,26.0,39.0,319.0
ldl,2180.0,127.84,29.19,34.0,109.0,127.0,146.0,270.0
crtn,2180.0,0.9,0.17,0.3,0.8,0.9,1.0,1.2
fbs,2180.0,98.43,10.47,69.0,92.0,97.5,104.0,288.0
hgb,2180.0,15.1,1.33,9.0,14.3,15.3,16.0,19.0
tc,2180.0,204.54,32.02,105.0,184.0,204.0,225.0,363.0
vcr,2180.0,1.27,0.68,0.0,0.9,1.2,2.0,2.0
vcl,2180.0,1.31,0.66,0.0,0.9,1.2,2.0,2.0
height,2180.0,169.77,7.47,147.0,165.0,170.0,175.0,192.0
weight,2180.0,72.24,10.54,32.2,65.2,72.0,78.6,116.1
wc,2180.0,86.54,7.48,57.0,82.0,86.0,90.0,119.0
sbp,2180.0,141.08,10.85,112.0,134.0,140.0,146.0,194.0
dbp,2180.0,93.28,7.98,80.0,89.0,92.0,97.25,132.0
egfr,2180.0,95.44,13.71,57.0,85.0,95.0,106.0,150.0
