,count,mean,std,min,25%,50%,75%,max
ast,1983.0,24.91,9.13,6.0,19.0,23.0,29.0,104.0
alt,1983.0,28.52,14.23,5.0,19.0,25.0,35.0,177.0
bmi,1983.0,27.51,7.01,3.0,22.7,26.7,31.8,51.5
gamma_gtp,1983.0,45.86,55.25,5.0,21.0,32.0,53.0,1440.0
ldl,1983.0,111.96,36.68,14.0,85.0,108.0,135.0,286.0
crtn,1983.0,0.88,0.17,0.4,0.8,0.9,1.0,1.2
fbs,1983.0,154.77,36.07,126.0,132.0,142.0,162.0,399.0
hgb,1983.0,14.92,1.34,7.7,14.1,15.0,15.8,19.4
tc,1983.0,186.58,43.89,71.0,156.0,182.0,212.5,597.0
vcr,1983.0,0.62,0.75,0.0,0.0,0.0,1.0,2.0
vcl,1983.0,0.63,0.75,0.0,0.0,0.0,1.2,2.0
height,1983.0,167.57,8.57,140.0,162.0,168.0,174.0,190.0
weight,1983.0,71.69,11.67,38.3,63.2,71.4,78.6,117.7
wc,1983.0,88.74,8.37,59.0,83.0,88.0,94.0,134.0
sbp,1983.0,126.15,12.98,76.0,118.0,126.0,135.0,190.0
dbp,1983.0,78.07,9.42,44.0,72.0,78.0,84.0,127.0
egfr,1983.0,91.01,13.97,56.0,81.0,92.0,101.0,138.0
